label,type,author,title,journal,year,volume,number,month,doi,art_number,article_number,url,eissn,document_type,unique_id,source,issn,note,earlyaccessdate,researcherid_numbers,pages,orcid_numbers,organization,editor,booktitle,series,isbn,filename,n_duplicates,citation,screened_titles,notes
Bellin2021,ARTICLE,"Bellin, N. and Spezzano, R. and Rossi, V.",Assessing the extinction risk of heterocypris incongruens (Crustacea: Ostracoda) in climate change with sensitivity and uncertainty analysis,Water (Switzerland),2021,13,13,NA,10.3390/w13131828,1828,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109985642&doi=10.3390%2fw13131828&partnerID=40&md5=04c62e333ef70670a55455835520f28d,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Assessing the Extinction Risk of Heterocypris Incongruens (Crustacea: Ostracoda) in Climate Change with Sensitivity and Uncertainty Analysis.,selected,NA
X.WOS.000608672700002,article,"Mathes, Gregor H. and van Dijk, Jeroen and Kiessling, Wolfgang and Steinbauer, Manuel J.",Extinction risk controlled by interaction of long-term and short-term climate change,"NATURE ECOLOGY \& EVOLUTION",2021,5,3,MAR,10.1038/s41559-020-01377-w,NA,NA,NA,NA,NA,WOS:000608672700002,NA,2397-334X,NA,JAN 2021,"Kiessling, Wolfgang/E-2259-2015 ",NA,"Kiessling, Wolfgang/0000-0002-1088-2014 Mathes, Gregor/0000-0002-2788-1173 van Dijk, Jeroen/0000-0003-2802-5915",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Extinction Risk Controlled by Interaction of Long-Term and Short-Term Climate Change.,selected,NA
X.WOS.000608681000004,article,"Gougherty, Andrew V. and Keller, Stephen R. and Fitzpatrick, Matthew C.","Maladaptation, migration and extirpation fuel climate change risk in a forest tree species","NATURE CLIMATE CHANGE",2021,11,2,FEB,10.1038/s41558-020-00968-6,NA,NA,NA,1758-6798,NA,WOS:000608681000004,NA,1758-678X,NA,JAN 2021,"Keller, Stephen/J-6652-2013 ",NA,"Keller, Stephen/0000-0001-8887-9213 Fitzpatrick, Matthew/0000-0003-1911-8407",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,"Maladaptation, Migration and Extirpation Fuel Climate Change Risk in a Forest Tree Species.",selected,NA
Sperle2021282,ARTICLE,"Sperle, T. and Bruelheide, H.",Climate change aggravates bog species extinctions in the Black Forest (Germany),Diversity and Distributions,2021,27,2,NA,10.1111/ddi.13184,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093928290&doi=10.1111%2fddi.13184&partnerID=40&md5=9199507efb236d4b278745f809f2b211,NA,Article,NA,Scopus,NA,cited By 3,NA,NA,282-295,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change Aggravates Bog Species Extinctions in the Black Forest (Germany),selected,NA
Yusefi20211,ARTICLE,"Yusefi, G.H.","Conservation Biogeography of the Terrestrial Mammals in Iran: Diversity Patterns, and Vulnerability to Climate Change and Extinction",Frontiers of Biogeography,2021,13,2,NA,10.21425/F5FBG49765,e49765,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109438619&doi=10.21425%2fF5FBG49765&partnerID=40&md5=b007fe674890e47d1b441423e11874ad,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,1-12,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Conservation Biogeography of the Terrestrial Mammals in Iran: Diversity Patterns, and Vulnerability to Climate Change and Extinction.",selected,NA
X.WOS.000609746900001,article,"Dakhil, Mohammed A. and Halmy, Marwa Waseem A. and Hassan, Walaa A. and El-Keblawy, Ali and Pan, Kaiwen and Abdelaal, Mohamed",Endemic Juniperus Montane Species Facing Extinction Risk under Climate Change in Southwest China: Integrative Approach for Conservation Assessment and Prioritization,BIOLOGY-BASEL,2021,10,1,JAN,10.3390/biology10010063,NA,63,NA,2079-7737,NA,WOS:000609746900001,NA,NA,NA,NA,"Halmy, Marwa/U-3123-2019 Dakhil, Mohammed Abdullah/U-9249-2019 Abdelaal, Mohamed/Q-6223-2017 ",NA,"Halmy, Marwa/0000-0002-4183-973X Dakhil, Mohammed/0000-0002-5140-1360 Abdelaal, Mohamed/0000-0003-2162-7630 El-Keblawy, Ali/0000-0003-4448-6236",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Endemic Juniperus Montane Species Facing Extinction Risk under Climate Change in Southwest China: Integrative Approach for Conservation Assessment and Prioritization.,selected,NA
Breslin202013211,ARTICLE,"Breslin, P.B. and Wojciechowski, M.F. and Albuquerque, F.","Projected climate change threatens significant range contraction of Cochemiea halei (Cactaceae), an island endemic, serpentine-adapted plant species at risk of extinction",Ecology and Evolution,2020,10,23,NA,10.1002/ece3.6914,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094186880&doi=10.1002%2fece3.6914&partnerID=40&md5=be79da30bbf949ad1c707f5b85913871,NA,Article,NA,Scopus,NA,cited By 3,NA,NA,13211-13224,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Projected Climate Change Threatens Significant Range Contraction of Cochemiea Halei (Cactaceae), an Island Endemic, Serpentine-Adapted Plant Species at Risk of Extinction.",selected,NA
X.WOS.000617727800001,article,"Trubovitz, Sarah and Lazarus, David and Renaudie, Johan and Noble, Paula J.",Marine plankton show threshold extinction response to Neogene climate change,"NATURE COMMUNICATIONS",2020,11,1,OCT 22,10.1038/s41467-020-18879-7,NA,5069,NA,2041-1723,NA,WOS:000617727800001,NA,NA,NA,NA,"Renaudie, Johan/D-9077-2012 ",NA,"Renaudie, Johan/0000-0002-9107-1984 Noble, Paula/0000-0002-9558-9123 Trubovitz, Sarah/0000-0003-1619-7314",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Marine Plankton Show Threshold Extinction Response to Neogene Climate Change.,selected,NA
Dagnino2020,ARTICLE,"Dagnino, D. and Guerrina, M. and Minuto, L. and Mariotti, M.G. and MÃ©dail, F. and Casazza, G.",Climate change and the future of endemic flora in the South Western Alps: relationships between niche properties and extinction risk,Regional Environmental Change,2020,20,4,NA,10.1007/s10113-020-01708-4,121,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092598710&doi=10.1007%2fs10113-020-01708-4&partnerID=40&md5=ad0bb15811c8a7fefef862d906c4e946,NA,Article,NA,Scopus,NA,cited By 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change and the Future of Endemic Flora in the South Western Alps: Relationships Between Niche Properties and Extinction Risk.,selected,NA
X.WOS.000550000300035,article,"Jaric, Ivan and Bellard, Celine and Courchamp, Franck and Kalinkat, Gregor and Meinard, Yves and Roberts, David L. and Correia, Ricardo A.",Societal attention toward extinction threats: a comparison between climate change and biological invasions,SCIENTIFIC REPORTS,2020,10,1,JUL 6,10.1038/s41598-020-67931-5,NA,NA,NA,NA,NA,WOS:000550000300035,NA,2045-2322,NA,NA,"Bellard, CÃ©line/J-8157-2014 Kalinkat, Gregor/H-5401-2013 Courchamp, Franck/ABE-7204-2020 Correia, Ricardo A./G-9427-2016 Jaric, Ivan/R-4048-2016",NA,"Bellard, CÃ©line/0000-0003-2012-1160 Kalinkat, Gregor/0000-0003-3529-5681 Courchamp, Franck/0000-0001-7605-4548 Correia, Ricardo A./0000-0001-7359-9091 Jaric, Ivan/0000-0002-2185-297X",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Societal Attention Toward Extinction Threats: a Comparison Between Climate Change and Biological Invasions.,selected,NA
X.WOS.000543974800026,article,"Seersholm, Frederik V. and Werndly, Daniel J. and Grealy, Alicia and Johnson, Taryn and Keenan Early, Erin M. and Lundelius, Ernest L. and Winsborough, Barbara and Farr, Grayal Earle and Toomey, Rickard and Hansen, Anders J. and Shapiro, Beth and Waters, Michael R. and McDonald, Gregory and Linderholm, Anna and Stafford, Jr., Thomas W. and Bunce, Michael",Rapid range shifts and megafaunal extinctions associated with late Pleistocene climate change,"NATURE COMMUNICATIONS",2020,11,1,JUN 2,10.1038/s41467-020-16502-3,NA,2770,NA,NA,NA,WOS:000543974800026,NA,2041-1723,NA,NA,"Seersholm, Frederik/AAN-2985-2021 Waters, Michael/ABI-2377-2020 Hansen, Anders Johannes/A-5608-2013 ",NA,"Waters, Michael/0000-0003-2660-3355 Hansen, Anders Johannes/0000-0002-1890-2702 Seersholm, Frederik Valeur/0000-0003-2217-3247 Keenan Early, Erin M./0000-0003-1080-5761 Toomey, Rickard/0000-0001-5429-9501",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Rapid Range Shifts and Megafaunal Extinctions Associated with Late Pleistocene Climate Change.,selected,NA
X.WOS.000579858500015,article,"Keller, Gerta and Mateo, Paula and Monkenbusch, Johannes and Thibault, Nicolas and Punekar, Jahnavi and Spangenberg, Jorge E. and Abramovich, Sigal and Ashckenazi-Polivoda, Sarit and Schoene, Blair and Eddy, Michael P. and Samperton, Kyle M. and Khadri, Syed F. R. and Adatte, Thierry","Mercury linked to Deccan Traps volcanism, climate change and the end-Cretaceous mass extinction",GLOBAL AND PLANETARY CHANGE,2020,194,NA,NOV,10.1016/j.gloplacha.2020.103312,NA,103312,NA,1872-6364,NA,WOS:000579858500015,NA,0921-8181,NA,NA,"Abramovich, Sigal/AAR-5034-2021 Ashckenazi-Polivoda, Sarit/AAY-1033-2020 Thibault, Nicolas/B-1106-2013 University, Sant Gadge Baba Amravati/AAN-5820-2021 ",NA,"Abramovich, Sigal/0000-0003-3124-1387 Thibault, Nicolas/0000-0003-4147-5531 University, Sant Gadge Baba Amravati/0000-0002-3759-6755 Monkenbusch, Johannes/0000-0002-0833-836X Eddy, Michael/0000-0003-0907-5108 Samperton, Kyle/0000-0003-0177-5978",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,"Mercury Linked to Deccan Traps Volcanism, Climate Change and the End-Cretaceous Mass Extinction.",excluded,NA
Riquelme20201847,ARTICLE,"Riquelme, C. and Estay, S.A. and Contreras, R. and Corti, P.",Extinction risk assessment of a Patagonian ungulate using population dynamics models under climate change scenarios,International Journal of Biometeorology,2020,64,11,NA,10.1007/s00484-020-01971-4,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088828010&doi=10.1007%2fs00484-020-01971-4&partnerID=40&md5=97c74bd050eecdd3d3625d7c875d5719,NA,Article,NA,Scopus,NA,cited By 0,NA,NA,1847-1855,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Extinction Risk Assessment of a Patagonian Ungulate using Population Dynamics Models under Climate Change Scenarios.,selected,NA
Bevan2020,ARTICLE,"Bevan, L.D. and Colley, T. and Workman, M.","Climate change strategic narratives in the United Kingdom: Emergency, Extinction, Effectiveness",Energy Research and Social Science,2020,69,NA,NA,10.1016/j.erss.2020.101580,101580,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084431245&doi=10.1016%2fj.erss.2020.101580&partnerID=40&md5=2548917a10d5b5467e93e19c870e143d,NA,Article,NA,Scopus,NA,cited By 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Climate Change Strategic Narratives in the United Kingdom: Emergency, Extinction, Effectiveness.",selected,NA
Sekerci2020,ARTICLE,"Sekerci, Y.",Climate change forces plankton species to move to get rid of extinction: mathematical modeling approach,European Physical Journal Plus,2020,135,10,NA,10.1140/epjp/s13360-020-00800-2,794,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092272868&doi=10.1140%2fepjp%2fs13360-020-00800-2&partnerID=40&md5=f499045f947b060d0b3a358ef010ced4,NA,Article,NA,Scopus,NA,cited By 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change Forces Plankton Species to Move to Get Rid of Extinction: Mathematical Modeling Approach.,selected,NA
Godfrey2020,ARTICLE,"Godfrey, L.R. and Samonds, K.E. and Baldwin, J.W. and Sutherland, M.R. and Kamilar, J.M. and Allfisher, K.L.","Mid-Cenozoic climate change, extinction, and faunal turnover in Madagascar, and their bearing on the evolution of lemurs",BMC Evolutionary Biology,2020,20,1,NA,10.1186/s12862-020-01628-1,97,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089261793&doi=10.1186%2fs12862-020-01628-1&partnerID=40&md5=e184474853785d057f74ce679897cfcc,NA,Article,NA,Scopus,NA,cited By 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,"Mid-Cenozoic Climate Change, Extinction, and Faunal Turnover in Madagascar, and their Bearing on the Evolution of Lemurs.",selected,NA
X.WOS.000553920100035,article,"de Moraes, Kaue Felippe and Santos, Marcos Persio Dantas and Goncalves, Gabriela Silva Ribeiro and de Oliveira, Geovana Linhares and Gomes, Leticia Braga and Lima, Marcela Guimaraes Moreira",Climate change and bird extinctions in the Amazon,PLOS ONE,2020,15,7,JUL 17,10.1371/journal.pone.0236103,NA,e0236103,NA,NA,NA,WOS:000553920100035,NA,1932-6203,NA,NA,"PÃ©rsio, Marcos/B-8653-2016 ",NA,"PÃ©rsio, Marcos/0000-0001-8819-867X Lima, Marcela/0000-0002-2203-7598 Moraes, Kaue/0000-0002-8333-4318",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Climate Change and Bird Extinctions in the Amazon.,selected,NA
X.WOS.000515754900001,article,"Acevedo, Miguel A. and Beaudrot, Lydia and Melendez-Ackerman, Elvia J. and Tremblay, Raymond L.",Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte,JOURNAL OF ECOLOGY,2020,108,4,JUL,10.1111/1365-2745.13361,NA,NA,NA,1365-2745,NA,WOS:000515754900001,NA,0022-0477,NA,FEB 2020,"Beaudrot, L./M-6936-2017 ",1553-1564,"Beaudrot, L./0000-0001-8135-7519 Tremblay, Raymond/0000-0002-8588-4372",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Local Extinction Risk under Climate Change in a Neotropical Asymmetrically Dispersed Epiphyte.,selected,NA
X.WOS.000537559500009,article,"Timmermann, Axel",Quantifying the potential causes of Neanderthal extinction: Abrupt climate change versus competition and interbreeding,QUATERNARY SCIENCE REVIEWS,2020,238,NA,JUN 15,10.1016/j.quascirev.2020.106331,NA,106331,NA,NA,NA,WOS:000537559500009,NA,0277-3791,NA,NA,"Timmermann, Axel/Y-2799-2019 Timmermann, Axel/F-4977-2011",NA,"Timmermann, Axel/0000-0003-0657-2969 Timmermann, Axel/0000-0003-0657-2969",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Quantifying the Potential Causes of Neanderthal Extinction: Abrupt Climate Change Versus Competition and Interbreeding.,selected,NA
Blechschmidt2020,ARTICLE,"Blechschmidt, J. and Wittmann, M.J. and BlÃ¼ml, C.",Climate change and green sea turtle sex ratioâ€”preventing possible extinction,Genes,2020,11,5,NA,10.3390/genes11050588,588,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085611012&doi=10.3390%2fgenes11050588&partnerID=40&md5=40c44cc7078c831c8ce145e2065a0919,NA,Article,NA,Scopus,NA,cited By 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/scopus.bib,1,Climate Change and Green Sea Turtle Sex Ratioâ€”preventing Possible Extinction.,selected,NA
X.WOS.000522885100001,article,"Zhang, Yinbo and Meng, Qingxin and Wang, Yuzhuo and Zhang, Xiaolong and Wang, Wei",Climate change-induced migration patterns and extinction risks of Theaceae species in China,ECOLOGY AND EVOLUTION,2020,10,10,MAY,10.1002/ece3.6202,NA,NA,NA,NA,NA,WOS:000522885100001,NA,2045-7758,NA,MAR 2020,"çŽ‹, ä¼Ÿ/AAT-8132-2020 ",4352-4361,"çŽ‹, ä¼Ÿ/0000-0002-3864-4931 Zhang, Xiaolong/0000-0003-1185-9921",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,Climate Change-Induced Migration Patterns and Extinction Risks of Theaceae Species in China.,selected,NA
X.WOS.000516651200001,article,"Lima, Valdeir Pereira and Marchioro, Cesar Augusto and Joner, Fernando and Ter Steege, Hans and Siddique, Ilyas","Extinction threat to neglected Plinia edulis exacerbated by climate change, yet likely mitigated by conservation through sustainable use",AUSTRAL ECOLOGY,2020,45,3,MAY,10.1111/aec.12867,NA,NA,NA,1442-9993,NA,WOS:000516651200001,NA,1442-9985,NA,FEB 2020,"Marchioro, Cesar Augusto/AAU-7562-2021 Lima, Valdeir/V-2136-2019 Steege, Hans ter/B-5866-2011 Siddique, Ilyas/C-6810-2015",376-383,"Marchioro, Cesar Augusto/0000-0002-7257-8114 Lima, Valdeir/0000-0002-2622-3291 Steege, Hans ter/0000-0002-8738-2659 Siddique, Ilyas/0000-0002-0519-2086",NA,NA,NA,NA,NA,C:/Users/gmath/Documents/3.PhD/lit_review_past_climate/bibliography/web_of_science.bib,1,"Extinction Threat to Neglected Plinia Edulis Exacerbated by Climate Change, yet Likely Mitigated by Conservation Through Sustainable Use.",selected,NA
